Normal_test_accuracy,Normal_train_accuracy,Normal_f1_score_binary,Normal_f1_score_micro,Normal_test_auc_score,Normal_train_auc_score,Normal_precision,Normal_recall,Normal_cm,SMOTE_test_accuracy,SMOTE_train_accuracy,SMOTE_f1_score_binary,SMOTE_f1_score_micro,SMOTE_test_auc_score,SMOTE_train_auc_score,SMOTE_precision,SMOTE_recall,SMOTE_cm,GAN_test_accuracy,GAN_train_accuracy,GAN_f1_score_binary,GAN_f1_score_micro,GAN_test_auc_score,GAN_train_auc_score,GAN_precision,GAN_recall,GAN_cm,SGAN_test_accuracy,SGAN_train_accuracy,SGAN_f1_score_binary,SGAN_f1_score_micro,SGAN_test_auc_score,SGAN_train_auc_score,SGAN_precision,SGAN_recall,SGAN_cm,CTGAN_test_accuracy,CTGAN_train_accuracy,CTGAN_f1_score_binary,CTGAN_f1_score_micro,CTGAN_test_auc_score,CTGAN_train_auc_score,CTGAN_precision,CTGAN_recall,CTGAN_cm
0.9411764705882353,1.0,0.5,0.9411764705882353,0.90625,1.0,0.5,0.5,"[[62  2]
 [ 2  2]]",0.9705882352941176,1.0,0.75,0.9705882352941176,0.9140625,0.9999999999999999,0.75,0.75,"[[63  1]
 [ 1  3]]",0.9117647058823529,1.0,0.4,0.9117647058823528,0.9296875,0.9999999999999999,0.3333333333333333,0.5,"[[60  4]
 [ 2  2]]",0.9411764705882353,1.0,0.5,0.9411764705882353,0.9453125,1.0,0.5,0.5,"[[62  2]
 [ 2  2]]",0.9117647058823529,1.0,0.25,0.9117647058823528,0.9453125,0.9999999999999999,0.25,0.25,"[[61  3]
 [ 3  1]]"
0.9705882352941176,1.0,0.8,0.9705882352941176,1.0,1.0,0.6666666666666666,1.0,"[[62  2]
 [ 0  4]]",0.9411764705882353,1.0,0.6666666666666666,0.9411764705882353,1.0,1.0,0.5,1.0,"[[60  4]
 [ 0  4]]",0.9558823529411765,1.0,0.7272727272727273,0.9558823529411765,1.0,1.0,0.5714285714285714,1.0,"[[61  3]
 [ 0  4]]",0.9558823529411765,1.0,0.7272727272727273,0.9558823529411765,1.0,1.0,0.5714285714285714,1.0,"[[61  3]
 [ 0  4]]",0.9558823529411765,1.0,0.7272727272727273,0.9558823529411765,1.0,1.0,0.5714285714285714,1.0,"[[61  3]
 [ 0  4]]"
0.9852941176470589,1.0,0.8571428571428571,0.9852941176470589,0.9921875,1.0,1.0,0.75,"[[64  0]
 [ 1  3]]",0.9852941176470589,1.0,0.8571428571428571,0.9852941176470589,0.984375,1.0,1.0,0.75,"[[64  0]
 [ 1  3]]",0.9852941176470589,1.0,0.8571428571428571,0.9852941176470589,0.984375,1.0,1.0,0.75,"[[64  0]
 [ 1  3]]",0.9852941176470589,1.0,0.8571428571428571,0.9852941176470589,0.96875,1.0,1.0,0.75,"[[64  0]
 [ 1  3]]",0.9852941176470589,1.0,0.8571428571428571,0.9852941176470589,0.9921875,1.0,1.0,0.75,"[[64  0]
 [ 1  3]]"
0.9558823529411765,1.0,0.6666666666666665,0.9558823529411765,0.9765625,1.0,0.6,0.75,"[[62  2]
 [ 1  3]]",0.9411764705882353,1.0,0.5,0.9411764705882353,0.9609375,1.0,0.5,0.5,"[[62  2]
 [ 2  2]]",0.9558823529411765,1.0,0.6666666666666665,0.9558823529411765,0.97265625,1.0,0.6,0.75,"[[62  2]
 [ 1  3]]",0.9705882352941176,1.0,0.75,0.9705882352941176,0.9765625,1.0,0.75,0.75,"[[63  1]
 [ 1  3]]",0.9558823529411765,1.0,0.5714285714285715,0.9558823529411765,0.97265625,0.9999999999999999,0.6666666666666666,0.5,"[[63  1]
 [ 2  2]]"
0.9852941176470589,1.0,0.8571428571428571,0.9852941176470589,0.99609375,1.0,1.0,0.75,"[[64  0]
 [ 1  3]]",0.9705882352941176,1.0,0.75,0.9705882352941176,0.9921875,1.0,0.75,0.75,"[[63  1]
 [ 1  3]]",0.9852941176470589,1.0,0.8571428571428571,0.9852941176470589,0.99609375,1.0,1.0,0.75,"[[64  0]
 [ 1  3]]",0.9705882352941176,1.0,0.75,0.9705882352941176,0.89453125,1.0,0.75,0.75,"[[63  1]
 [ 1  3]]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[64  0]
 [ 0  4]]"
0.9558823529411765,1.0,0.6666666666666665,0.9558823529411765,0.939453125,1.0,0.6,0.75,"[[62  2]
 [ 1  3]]",0.9558823529411765,1.0,0.6666666666666665,0.9558823529411765,0.95703125,1.0,0.6,0.75,"[[62  2]
 [ 1  3]]",0.9411764705882353,1.0,0.6,0.9411764705882353,0.95703125,1.0,0.5,0.75,"[[61  3]
 [ 1  3]]",0.9558823529411765,1.0,0.6666666666666665,0.9558823529411765,0.9453125,1.0,0.6,0.75,"[[62  2]
 [ 1  3]]",0.9411764705882353,1.0,0.6,0.9411764705882353,0.9453125,1.0,0.5,0.75,"[[61  3]
 [ 1  3]]"
0.9411764705882353,1.0,0.5,0.9411764705882353,0.87890625,1.0,0.5,0.5,"[[62  2]
 [ 2  2]]",0.9705882352941176,1.0,0.6666666666666666,0.9705882352941176,0.9921875,1.0,1.0,0.5,"[[64  0]
 [ 2  2]]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[64  0]
 [ 0  4]]",0.9558823529411765,1.0,0.5714285714285715,0.9558823529411765,0.9375,1.0,0.6666666666666666,0.5,"[[63  1]
 [ 2  2]]",0.9558823529411765,1.0,0.5714285714285715,0.9558823529411765,0.95703125,0.9999999999999999,0.6666666666666666,0.5,"[[63  1]
 [ 2  2]]"
0.9705882352941176,1.0,0.6666666666666666,0.9705882352941176,0.91796875,1.0,1.0,0.5,"[[64  0]
 [ 2  2]]",0.9852941176470589,1.0,0.8571428571428571,0.9852941176470589,0.98046875,1.0,1.0,0.75,"[[64  0]
 [ 1  3]]",0.9264705882352942,1.0,0.28571428571428575,0.9264705882352942,0.96484375,1.0,0.3333333333333333,0.25,"[[62  2]
 [ 3  1]]",0.9558823529411765,1.0,0.4,0.9558823529411765,0.99609375,1.0,1.0,0.25,"[[64  0]
 [ 3  1]]",0.9705882352941176,1.0,0.6666666666666666,0.9705882352941176,0.984375,1.0,1.0,0.5,"[[64  0]
 [ 2  2]]"
0.9558823529411765,1.0,0.6666666666666665,0.9558823529411765,0.984375,1.0,0.6,0.75,"[[62  2]
 [ 1  3]]",0.9705882352941176,1.0,0.8,0.9705882352941176,1.0,1.0,0.6666666666666666,1.0,"[[62  2]
 [ 0  4]]",0.9558823529411765,1.0,0.7272727272727273,0.9558823529411765,0.98828125,1.0,0.5714285714285714,1.0,"[[61  3]
 [ 0  4]]",0.9558823529411765,1.0,0.7272727272727273,0.9558823529411765,0.98046875,1.0,0.5714285714285714,1.0,"[[61  3]
 [ 0  4]]",0.9558823529411765,1.0,0.6666666666666665,0.9558823529411765,0.9921875,1.0,0.6,0.75,"[[62  2]
 [ 1  3]]"
0.9558823529411765,1.0,0.4,0.9558823529411765,0.998046875,1.0,1.0,0.25,"[[64  0]
 [ 3  1]]",0.9852941176470589,1.0,0.8571428571428571,0.9852941176470589,0.998046875,1.0,1.0,0.75,"[[64  0]
 [ 1  3]]",0.9705882352941176,1.0,0.6666666666666666,0.9705882352941176,0.984375,0.9999999999999999,1.0,0.5,"[[64  0]
 [ 2  2]]",0.9852941176470589,1.0,0.8571428571428571,0.9852941176470589,1.0,1.0,1.0,0.75,"[[64  0]
 [ 1  3]]",0.9264705882352942,1.0,0.0,0.9264705882352942,0.984375,1.0,0.0,0.0,"[[63  1]
 [ 4  0]]"
0.9852941176470589,1.0,0.8571428571428571,0.9852941176470589,0.99609375,1.0,1.0,0.75,"[[64  0]
 [ 1  3]]",0.9705882352941176,1.0,0.8,0.9705882352941176,1.0,0.9999999999999999,0.6666666666666666,1.0,"[[62  2]
 [ 0  4]]",0.9852941176470589,1.0,0.888888888888889,0.9852941176470589,1.0,1.0,0.8,1.0,"[[63  1]
 [ 0  4]]",0.9705882352941176,1.0,0.75,0.9705882352941176,0.9921875,1.0,0.75,0.75,"[[63  1]
 [ 1  3]]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[64  0]
 [ 0  4]]"
0.9558823529411765,1.0,0.5714285714285715,0.9558823529411765,0.984375,1.0,0.6666666666666666,0.5,"[[63  1]
 [ 2  2]]",0.9705882352941176,1.0,0.75,0.9705882352941176,0.9921875,1.0,0.75,0.75,"[[63  1]
 [ 1  3]]",0.9705882352941176,1.0,0.8,0.9705882352941176,0.9921875,1.0,0.6666666666666666,1.0,"[[62  2]
 [ 0  4]]",0.9558823529411765,1.0,0.5714285714285715,0.9558823529411765,0.98046875,1.0,0.6666666666666666,0.5,"[[63  1]
 [ 2  2]]",0.9705882352941176,1.0,0.75,0.9705882352941176,0.953125,1.0,0.75,0.75,"[[63  1]
 [ 1  3]]"
0.9705882352941176,1.0,0.6666666666666666,0.9705882352941176,0.98828125,1.0,1.0,0.5,"[[64  0]
 [ 2  2]]",0.9852941176470589,1.0,0.8571428571428571,0.9852941176470589,0.9765625,1.0,1.0,0.75,"[[64  0]
 [ 1  3]]",0.9852941176470589,1.0,0.8571428571428571,0.9852941176470589,0.98046875,1.0,1.0,0.75,"[[64  0]
 [ 1  3]]",0.9705882352941176,1.0,0.6666666666666666,0.9705882352941176,0.984375,1.0,1.0,0.5,"[[64  0]
 [ 2  2]]",0.9705882352941176,1.0,0.6666666666666666,0.9705882352941176,0.9921875,1.0,1.0,0.5,"[[64  0]
 [ 2  2]]"
0.9705882352941176,1.0,0.75,0.9705882352941176,0.98828125,1.0,0.75,0.75,"[[63  1]
 [ 1  3]]",0.9852941176470589,1.0,0.888888888888889,0.9852941176470589,0.99609375,1.0,0.8,1.0,"[[63  1]
 [ 0  4]]",0.9852941176470589,1.0,0.888888888888889,0.9852941176470589,0.9921875,1.0,0.8,1.0,"[[63  1]
 [ 0  4]]",0.9705882352941176,1.0,0.75,0.9705882352941176,0.98828125,0.9999999999999999,0.75,0.75,"[[63  1]
 [ 1  3]]",0.9852941176470589,1.0,0.888888888888889,0.9852941176470589,0.99609375,1.0,0.8,1.0,"[[63  1]
 [ 0  4]]"
0.9558823529411765,1.0,0.4,0.9558823529411765,0.98046875,1.0,1.0,0.25,"[[64  0]
 [ 3  1]]",0.9852941176470589,1.0,0.888888888888889,0.9852941176470589,1.0,1.0,0.8,1.0,"[[63  1]
 [ 0  4]]",0.9705882352941176,1.0,0.6666666666666666,0.9705882352941176,0.9765625,1.0,1.0,0.5,"[[64  0]
 [ 2  2]]",0.9705882352941176,1.0,0.6666666666666666,0.9705882352941176,0.99609375,1.0,1.0,0.5,"[[64  0]
 [ 2  2]]",0.9705882352941176,1.0,0.6666666666666666,0.9705882352941176,1.0,1.0,1.0,0.5,"[[64  0]
 [ 2  2]]"
0.9705882352941176,1.0,0.6666666666666666,0.9705882352941176,0.98046875,1.0,1.0,0.5,"[[64  0]
 [ 2  2]]",0.9558823529411765,1.0,0.5714285714285715,0.9558823529411765,0.96875,1.0,0.6666666666666666,0.5,"[[63  1]
 [ 2  2]]",0.9705882352941176,1.0,0.6666666666666666,0.9705882352941176,0.96484375,1.0,1.0,0.5,"[[64  0]
 [ 2  2]]",0.9705882352941176,1.0,0.6666666666666666,0.9705882352941176,0.9921875,1.0,1.0,0.5,"[[64  0]
 [ 2  2]]",0.9852941176470589,1.0,0.8571428571428571,0.9852941176470589,0.9453125,1.0,1.0,0.75,"[[64  0]
 [ 1  3]]"
0.9705882352941176,1.0,0.75,0.9705882352941176,0.97265625,1.0,0.75,0.75,"[[63  1]
 [ 1  3]]",0.9705882352941176,1.0,0.75,0.9705882352941176,0.97265625,1.0,0.75,0.75,"[[63  1]
 [ 1  3]]",0.9705882352941176,1.0,0.75,0.9705882352941176,0.9921875,1.0,0.75,0.75,"[[63  1]
 [ 1  3]]",0.9705882352941176,1.0,0.75,0.9705882352941176,0.9921875,1.0,0.75,0.75,"[[63  1]
 [ 1  3]]",0.9705882352941176,1.0,0.75,0.9705882352941176,0.978515625,1.0,0.75,0.75,"[[63  1]
 [ 1  3]]"
